calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
0,0.001,0.0009,10,-1.3506833059785108e-06,-3.902543625117997e-07,-0.01,0.01,1.3562940542721993e-07,-8.900080837719924e-08,-8.900080837719924e-08,6.720715139700216e-07,-1.5707963267948966,1.5707963267948966,2,20,8
1,0.001,0.0009,10,-3.217725335599631e-06,-3.8921970391092906e-07,-0.01,0.01,1.5189543583903832e-07,-3.94057181971573e-08,-3.94057181971573e-08,3.531711440647795e-07,-1.5707963267948966,1.5707963267948966,2,20,8
2,0.001,0.0009,10,-2.791717944396013e-06,2.569907544359382e-06,-0.01,0.01,1.4261389278655317e-07,2.472616022533564e-08,2.472616022533564e-08,3.878399932627128e-07,-1.5707963267948966,1.5707963267948966,2,20,8
3,0.001,0.0009,10,-6.243496122450417e-07,1.489843161143688e-06,-0.01,0.01,2.0939869577902175e-07,-1.1446947965162383e-07,-1.1446947965162383e-07,3.270989398829971e-07,-1.5707963267948966,1.5707963267948966,2,20,8
4,0.001,0.0009,10,-4.341938880708608e-06,2.2582943997159603e-06,-0.01,0.01,1.6273824569797325e-07,6.195971722955735e-08,6.195971722955735e-08,3.4620870632180697e-07,-1.5707963267948966,1.5707963267948966,2,20,8
5,0.001,0.0009,10,-3.767581459271029e-06,1.1391580791398116e-06,-0.01,0.01,1.344311163604193e-07,-4.528848159653042e-08,-4.528848159653042e-08,5.073770493248752e-07,-1.5707963267948966,1.5707963267948966,2,20,8
6,0.001,0.0009,10,-2.488464144706407e-06,6.928733448917223e-07,-0.01,0.01,1.880054013959307e-07,-1.2571086073410575e-07,-1.2571086073410575e-07,4.1496432608981014e-07,-1.5707963267948966,1.5707963267948966,2,20,8
0,0.001,0.0009,10,-2.2932145583619363e-06,-4.2884497659875734e-07,-0.01,0.01,1.3383136509466576e-07,-1.0396357160825524e-07,-1.0396357160825524e-07,7.988508877741675e-07,-1.5707963267948966,1.5707963267948966,2,20,8
1,0.001,0.0009,10,-2.9958811845407186e-06,-4.064560734516886e-07,-0.01,0.01,1.7425605623981423e-07,-9.656398253585707e-08,-9.656398253585707e-08,3.8409582424281115e-07,-1.5707963267948966,1.5707963267948966,2,20,8
2,0.001,0.0009,10,-2.0834042460052653e-06,2.752273385909739e-06,-0.01,0.01,1.4918834654571885e-07,-7.047346557601296e-09,-7.047346557601296e-09,3.35204769879209e-07,-1.5707963267948966,1.5707963267948966,2,20,8
3,0.001,0.0009,10,-7.400352530534209e-07,5.893900239091192e-07,-0.01,0.01,2.244603465740369e-07,-1.606784828345391e-07,-1.606784828345391e-07,4.0410986542908844e-07,-1.5707963267948966,1.5707963267948966,2,20,8
