calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.05,0.017,15,-0.017185330240666777,-0.014795397283104464,-0.02,0.0
1,0.05,0.017,15,-0.014185151026484235,0.044559293263413936,-0.02,0.019
2,0.05,0.017,15,0.005965650270248295,-0.011248473125261465,0.0,-0.019
3,0.05,0.017,15,0.035708891874923945,0.018335405670957403,-0.05,0.001
0,0.05,0.017,15,-0.011844001578896606,-0.02168380964427022,-0.02,0.0
1,0.05,0.017,15,-0.020237836286499684,0.028801980554493574,-0.02,0.019
2,0.05,0.017,15,0.014069432255543156,0.003449084429442287,0.0,-0.019
3,0.05,0.017,15,-0.01214842177678013,-0.007944232336028666,-0.05,0.001
0,0.05,0.017,15,-0.014897912803122023,-0.021317982679120644,-0.02,0.0
1,0.05,0.017,15,-0.019501497088574318,0.023863408627505273,-0.02,0.019
2,0.05,0.017,15,0.009610080759493649,0.010529252414527084,0.0,-0.019
3,0.05,0.017,15,-0.03709495896751042,0.02156191267371241,-0.05,0.001
0,0.05,0.017,15,-0.008997314850338656,-0.02027696412964429,-0.02,0.0
1,0.05,0.017,15,-0.018765177981200296,0.017647065803259723,-0.02,0.019
2,0.05,0.017,15,0.022042743690578098,0.02089086354728861,0.0,-0.019
3,0.05,0.017,15,-0.11553530427389362,0.07328645457359505,-0.05,0.001
0,0.05,0.017,15,-0.012397748930632233,-0.025099693665375056,-0.02,0.0
1,0.05,0.017,15,-0.02988134113445978,0.0167519132454167,-0.02,0.019
2,0.05,0.017,15,0.01234963721408053,0.013152089249620337,0.0,-0.019
3,0.05,0.017,15,-0.04203790816881542,0.08357089106530415,-0.05,0.001
0,0.05,0.017,15,-0.009548534301662099,-0.018414537699516065,-0.02,0.0
1,0.05,0.017,15,-0.03263617864885433,0.020468941667895892,-0.02,0.019
2,0.05,0.017,15,0.022073853014110564,0.01445844502691221,0.0,-0.019
3,0.05,0.017,15,-0.025668580831863255,0.07028500791399295,-0.05,0.001
0,0.05,0.017,15,-0.007867526836825506,-0.016224353389725808,-0.02,0.0
1,0.05,0.017,15,-0.028557275245211577,0.016965749058925964,-0.02,0.019
2,0.05,0.017,15,0.009213910341912337,0.0072096209953657515,0.0,-0.019
3,0.05,0.017,15,0.0013907623899796183,-0.04205088344886569,-0.05,0.001
0,0.05,0.017,15,-0.007547979299974784,-0.017932931019634446,-0.02,0.0
1,0.05,0.017,15,-0.0379748310065367,0.03386297889005883,-0.02,0.019
2,0.05,0.017,15,0.017348891427961827,-0.006979057595210357,0.0,-0.019
3,0.05,0.017,15,-0.07315718850408662,0.003221467967264538,-0.05,0.001
0,0.05,0.017,15,-0.005151569439754408,-0.018371846811955812,-0.02,0.0
1,0.05,0.017,15,-0.035794910464827856,0.026486334247429525,-0.02,0.019
2,0.05,0.017,15,0.012539830461805438,-0.006305763461438067,0.0,-0.019
3,0.05,0.017,15,-0.10286628037623918,0.05824285084960054,-0.05,0.001
0,0.05,0.017,15,0.005271395302886064,-0.01503491873018639,-0.02,0.0
1,0.05,0.017,15,-0.04206477651519561,0.025645281344271003,-0.02,0.019
2,0.05,0.017,15,0.008116009701507715,-0.012484327896470925,0.0,-0.019
3,0.05,0.017,15,-0.15967874032113832,0.03476986897053837,-0.05,0.001
0,0.05,0.009,15,-0.02769794921502864,0.011825514497740374,-0.02,0.0
1,0.05,0.009,15,-0.017603387660110978,-0.000548731162707603,-0.02,0.019
2,0.05,0.009,15,-0.011457650431579931,0.007793517911527634,0.0,-0.019
3,0.05,0.009,15,-0.1598159935184708,-0.08824146267275768,-0.05,0.001
0,0.05,0.009,15,-0.04018273661260077,0.01260604449799211,-0.02,0.0
1,0.05,0.009,15,-0.02551303975421212,0.03526188303750144,-0.02,0.019
2,0.05,0.009,15,-0.011533346642021545,0.008281430401038074,0.0,-0.019
3,0.05,0.009,15,-0.11842558553188298,-0.10312834100075613,-0.05,0.001
0,0.05,0.009,15,-0.038257441892190394,0.026223606841466636,-0.02,0.0
1,0.05,0.009,15,-0.007768678121196149,0.035484620163400295,-0.02,0.019
2,0.05,0.009,15,-0.00863763398427405,0.00026205259642824406,0.0,-0.019
3,0.05,0.009,15,-0.14230939584763352,-0.17001684196569816,-0.05,0.001
0,0.05,0.009,15,-0.027577423680318753,0.03006948732794826,-0.02,0.0
1,0.05,0.009,15,-0.0022701762071217248,0.04681983843899577,-0.02,0.019
2,0.05,0.009,15,0.0012548351115993332,0.03776964632081805,0.0,-0.019
3,0.05,0.009,15,-0.10082287810570324,-0.12586153154139973,-0.05,0.001
0,0.05,0.009,15,-0.026056891023085536,0.03300432910795472,-0.02,0.0
1,0.05,0.009,15,-0.004924147916685194,0.047698339886397566,-0.02,0.019
2,0.05,0.009,15,-0.008006510926796039,0.0256726741873489,0.0,-0.019
3,0.05,0.009,15,-0.07959590476220119,-0.05334180226111099,-0.05,0.001
0,0.05,0.009,15,-0.025300234749733624,0.03127615252700576,-0.02,0.0
1,0.05,0.009,15,-0.004137903865857554,0.0460767604671314,-0.02,0.019
2,0.05,0.009,15,-0.022493836580057373,-0.010375878723307653,0.0,-0.019
3,0.05,0.009,15,-0.16218332744176794,-0.23739902282182623,-0.05,0.001
0,0.05,0.009,15,-0.022000518982429416,0.02842892539378509,-0.02,0.0
1,0.05,0.009,15,-0.010982050891925915,0.0404794414901369,-0.02,0.019
2,0.05,0.009,15,-0.020219000548363404,-0.019339938196153542,0.0,-0.019
3,0.05,0.009,15,-0.19764580971865583,-0.06599074258611116,-0.05,0.001
0,0.05,0.009,15,-0.024966230092585542,0.015140586687403503,-0.02,0.0
1,0.05,0.009,15,-0.01111498971045986,0.03637874454478064,-0.02,0.019
2,0.05,0.009,15,-0.01500158630466246,-0.015061072412755705,0.0,-0.019
3,0.05,0.009,15,-0.2615226816476534,0.04073394519198955,-0.05,0.001
0,0.05,0.009,15,-0.01750369112447627,0.027415037714125158,-0.02,0.0
1,0.05,0.009,15,-0.003206376967758438,0.02919529772343882,-0.02,0.019
2,0.05,0.009,15,-0.008460074500865113,-0.030398279563659803,0.0,-0.019
3,0.05,0.009,15,-0.19492696715965616,-0.06556110820890125,-0.05,0.001
0,0.05,0.009,15,-0.011828193132831398,0.017764494572993762,-0.02,0.0
1,0.05,0.009,15,-0.0011410398357803902,0.033630521490800445,-0.02,0.019
2,0.05,0.009,15,-0.02752602630611991,-0.04327877053139088,0.0,-0.019
3,0.05,0.009,15,-0.22193185400311496,0.056018400588609935,-0.05,0.001
0,0.05,0.0009,15,0.008509955762114428,0.012774156748164987,-0.02,0.0
1,0.05,0.0009,15,-0.00528299318891678,-0.027103882890802233,-0.02,0.019
2,0.05,0.0009,15,0.054878346709246954,0.024856519067544228,0.0,-0.019
3,0.05,0.0009,15,0.0466362012786532,-0.0031891579461184776,-0.05,0.001
0,0.05,0.0009,15,0.01939710845127289,0.003388960101434292,-0.02,0.0
1,0.05,0.0009,15,-0.011939890961400211,-0.014502569430529542,-0.02,0.019
2,0.05,0.0009,15,0.06410168267215187,0.013873774558091948,0.0,-0.019
3,0.05,0.0009,15,-0.02215065101239867,-0.08243675944797095,-0.05,0.001
0,0.05,0.0009,15,0.00801097400607425,0.001937696193045181,-0.02,0.0
1,0.05,0.0009,15,-0.002771143757860882,-0.023139984055968364,-0.02,0.019
2,0.05,0.0009,15,0.04530279932333962,0.026466335755942233,0.0,-0.019
3,0.05,0.0009,15,-0.4692522363871019,-0.2353454302205629,-0.05,0.001
0,0.05,0.0009,15,0.011923080564522227,0.004208533969488461,-0.02,0.0
1,0.05,0.0009,15,-0.010800645286194524,0.01851485633737237,-0.02,0.019
2,0.05,0.0009,15,0.04035881552670756,0.040458879743123,0.0,-0.019
3,0.05,0.0009,15,-0.22480648222434163,-0.12793388348106038,-0.05,0.001
