calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
0,0.001,0.0009,15,-0.020083120854349632,-0.018482672131444552,-0.02,-0.019,1.0760038963538552e-07,4.496785612269521e-09,4.496785612269521e-09,1.9151903478269074e-07,-1.5707963267948966,1.5707963267948966,2,30,3
1,0.001,0.0009,15,-0.01995505069314724,-0.019338040744792683,-0.02,-0.019,9.212887989393831e-08,-1.368757098678377e-08,-1.368757098678377e-08,2.8160513756007696e-07,-1.5707963267948966,1.5707963267948966,2,30,3
0,0.001,0.0009,15,-0.02013651943919574,-0.018555077442875805,-0.02,-0.019,1.0799360717614825e-07,4.697531657747601e-09,4.697531657747601e-09,1.9033552356505285e-07,-1.5707963267948966,1.5707963267948966,2,30,3
1,0.001,0.0009,15,-0.019891090931503364,-0.019030102747432977,-0.02,-0.019,9.189790833875723e-08,8.51123170008424e-09,8.51123170008424e-09,2.782143012792164e-07,-1.5707963267948966,1.5707963267948966,2,30,3
0,0.001,0.0009,15,-0.02038594023553992,-0.01873763936220735,-0.02,-0.019,1.0542795634655635e-07,1.2529981295496992e-08,1.2529981295496992e-08,2.0255291645620947e-07,-1.5707963267948966,1.5707963267948966,2,30,3
1,0.001,0.0009,15,-0.020020141302045737,-0.018951705223012004,-0.02,-0.019,9.278849580560833e-08,1.3050361994650337e-08,1.3050361994650337e-08,2.7437562815599575e-07,-1.5707963267948966,1.5707963267948966,2,30,3
0,0.001,0.0009,15,-0.020269099722273348,-0.018968935772109556,-0.02,-0.019,1.1043196410985123e-07,1.1380221393235933e-08,1.1380221393235933e-08,1.8575324030154286e-07,-1.5707963267948966,1.5707963267948966,2,30,3
1,0.001,0.0009,15,-0.019959666357041307,-0.018906870338262965,-0.02,-0.019,9.066820761580515e-08,2.47331010714473e-10,2.47331010714473e-10,2.8688222251767615e-07,-1.5707963267948966,1.5707963267948966,2,30,3
0,0.001,0.0009,15,-0.020219001538322786,-0.019055413489794518,-0.02,-0.019,1.0564349146006728e-07,1.0974238224547123e-08,1.0974238224547123e-08,2.0082905943082434e-07,-1.5707963267948966,1.5707963267948966,2,30,3
1,0.001,0.0009,15,-0.019908191990977493,-0.01872137672410328,-0.02,-0.019,8.902274497056104e-08,3.0496221233139192e-09,3.0496221233139192e-09,3.051648252949041e-07,-1.5707963267948966,1.5707963267948966,2,30,3
