calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
0,0.001,0.0009,15,-0.02038454626747516,-0.019552278507356625,-0.02,-0.019,1.355511838633436e-07,-3.3743168580972196e-08,-3.3743168580972196e-08,1.5704065546079545e-07,-1.5707963267948966,1.5707963267948966,2,30,12
1,0.001,0.0009,15,-0.01956641595241113,0.018402897656635782,-0.02,0.019,2.2322533560040577e-07,-1.635024846192443e-07,-1.635024846192443e-07,2.7230281700665193e-07,-1.5707963267948966,1.5707963267948966,2,30,12
2,0.001,0.0009,15,-0.020035945981628486,-0.017878513261037766,-0.02,-0.019,1.0793047912113256e-07,-3.200546922881267e-08,-3.200546922881267e-08,2.165522179799027e-07,-1.5707963267948966,1.5707963267948966,2,30,12
3,0.001,0.0009,15,-0.01985815315128971,0.018785187422050854,-0.02,0.019,1.5697101640248434e-07,-1.3279489079404637e-07,-1.3279489079404637e-07,3.2234862154732177e-07,-1.5707963267948966,1.5707963267948966,2,30,12
4,0.001,0.0009,15,-0.01986176724182685,-0.019113364961718227,-0.02,-0.019,1.2916094073251824e-07,-4.037113553890117e-08,-4.037113553890117e-08,1.746240339185823e-07,-1.5707963267948966,1.5707963267948966,2,30,12
5,0.001,0.0009,15,-0.020107412576288917,0.018435102823319317,-0.02,0.019,1.1317401970382769e-07,-9.492376461187756e-08,-9.492376461187756e-08,3.7883627555860855e-07,-1.5707963267948966,1.5707963267948966,2,30,12
6,0.001,0.0009,15,-0.019577895754658396,-0.0199027539805446,-0.02,-0.019,1.0674507005830944e-07,1.6881339306859407e-08,1.6881339306859407e-08,2.0142069079920743e-07,-1.5707963267948966,1.5707963267948966,2,30,12
7,0.001,0.0009,15,-0.018298539779778113,0.019594443053238243,-0.02,0.019,1.0071183207208827e-07,-2.8039031145407728e-08,-2.8039031145407728e-08,2.422670985993972e-07,-1.5707963267948966,1.5707963267948966,2,30,12
8,0.001,0.0009,15,-0.015046999706023257,-0.02676324971165952,-0.02,-0.019,1.0614492527276383e-07,-4.527539509820552e-09,-4.527539509820552e-09,1.9807455099076394e-07,-1.5707963267948966,1.5707963267948966,2,30,12
9,0.001,0.0009,15,-0.015154454829077776,0.024447126409255657,-0.02,0.019,1.1528352527261705e-07,-5.830188317763522e-08,-5.830188317763522e-08,2.440445036519389e-07,-1.5707963267948966,1.5707963267948966,2,30,12
10,0.001,0.0009,15,-0.015916791495115684,-0.026718069079975627,-0.02,-0.019,1.3712034939151646e-07,9.957548952641092e-08,9.957548952641092e-08,2.833192629379023e-07,-1.5707963267948966,1.5707963267948966,2,30,12
0,0.001,0.0009,15,-0.019963693882719177,-0.018519951975812177,-0.02,-0.019,8.287472916340053e-08,-2.4447211027685998e-08,-2.4447211027685998e-08,4.532616542145874e-07,-1.5707963267948966,1.5707963267948966,2,20,12
1,0.001,0.0009,15,-0.020239113308805283,0.019457361880021628,-0.02,0.019,1.1706895026688074e-07,-6.272422194650824e-08,-6.272422194650824e-08,2.484581997791465e-07,-1.5707963267948966,1.5707963267948966,2,20,12
