calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high
0,0.001,0.0009,20,-0.019750267581645633,0.0006353712092383323,-0.02,0.0,5.899870543500348e-07,6.181355567607298e-07,6.181355567607298e-07,7.661158942754477e-07,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,20,3.19052211583641e-05,0.01891718602841406,0.0,0.019,4.6148933908882895e-07,6.943976660484948e-07,6.943976660484948e-07,1.2380909192651377e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,20,-0.018039099530764144,-0.018320866858981766,-0.02,-0.019,8.005092745275701e-07,8.547486413154919e-07,8.547486413154919e-07,1.0305382201232093e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,20,-0.04429770114294946,0.011672686104257007,-0.05,0.01,4.188766843835711e-07,3.5234839280147485e-07,3.5234839280147485e-07,3.96834799753655e-07,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,20,-0.01914527949695698,0.0011596746198466212,-0.02,0.0,6.099848702644511e-07,6.461802052052441e-07,6.461802052052441e-07,8.040497362677228e-07,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,20,0.00011111166621441235,0.01881295600856968,0.0,0.019,4.796823276682018e-07,7.058453485960462e-07,7.058453485960462e-07,1.2251590286051669e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,20,-0.017879145749572264,-0.018397820495100747,-0.02,-0.019,7.926142066700912e-07,8.721608997534601e-07,8.721608997534601e-07,1.0815517426917856e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,20,-0.042535615426158725,0.012034117936600279,-0.05,0.01,4.266583739252569e-07,3.6796567825018396e-07,3.6796567825018396e-07,4.19627309437221e-07,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,20,-0.01952871613297409,0.0005113171421532295,-0.02,0.0,6.272949239330974e-07,6.60543420933321e-07,6.60543420933321e-07,8.139992251194036e-07,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,20,-1.5452975567504832e-05,0.018529256919817837,0.0,0.019,5.120778942342715e-07,7.683050142779777e-07,7.683050142779777e-07,1.3427626343715202e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,20,-0.017866296489077886,-0.018059797877137247,-0.02,-0.019,7.366641051314589e-07,8.058014350660914e-07,8.058014350660914e-07,1.0031357343752223e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,20,-0.04217531937955787,0.013543676726154693,-0.05,0.01,4.1105609055359245e-07,3.7105764949568086e-07,3.7105764949568086e-07,4.419036850844e-07,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,20,-0.019492162426278655,0.0005181585855329003,-0.02,0.0,5.900126563880566e-07,6.240133291194751e-07,6.240133291194751e-07,7.796427445875486e-07,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,20,-2.5386216039069206e-05,0.01863914622170848,0.0,0.019,4.7642870146824393e-07,7.247417574481194e-07,7.247417574481194e-07,1.2978149599819793e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,20,-0.01812829216936467,-0.018049024789122972,-0.02,-0.019,7.674998592654331e-07,8.340438944584251e-07,8.340438944584251e-07,1.0268401976241848e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,20,-0.041461846257412824,0.014136904754521144,-0.05,0.01,4.185402072907671e-07,3.9601019365547843e-07,3.9601019365547843e-07,4.860721824508073e-07,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,20,-0.019486402557912418,0.00044038993018263037,-0.02,0.0,5.848789165597555e-07,6.131563286388583e-07,6.131563286388583e-07,7.614650474208261e-07,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,20,0.00010260969372897615,0.01876201684579903,0.0,0.019,5.248872421637759e-07,7.846429540940016e-07,7.846429540940016e-07,1.3615625607076648e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,20,-0.01721927964030628,-0.017486981420329336,-0.02,-0.019,8.152336790754293e-07,8.889415429366596e-07,8.889415429366596e-07,1.0897079032369103e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,20,-0.042010359063541884,0.012680302849627203,-0.05,0.01,4.4806648978142944e-07,4.367949250153943e-07,4.367949250153943e-07,5.394013769495638e-07,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,20,-0.020288769357191806,-0.0004796177509849019,-0.02,0.0,5.818841183120866e-08,6.350429219174023e-08,6.350429219174023e-08,1.051031329379874e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,20,0.0005172833224055945,0.016189509371464857,0.0,0.019,7.238558279557664e-08,-2.1900012709165632e-07,-2.1900012709165632e-07,2.4971578579906308e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,20,-0.019769930129721874,-0.017536954285150157,-0.02,-0.019,7.842170479238635e-08,2.257903795850704e-07,2.257903795850704e-07,2.0651124729066025e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,20,-0.04707567262867047,0.01219841559150638,-0.05,0.01,5.570412500253251e-08,-4.559743084161574e-08,-4.559743084161574e-08,1.2252319148990697e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,20,-0.020235725927111946,-0.0006075664655230138,-0.02,0.0,5.458246500029711e-08,5.366308485052106e-08,5.366308485052106e-08,1.8462511467753988e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,20,0.0005690268420346165,0.015997997172722038,0.0,0.019,7.663323658769841e-08,-2.550486929478932e-07,-2.550486929478932e-07,2.7647096843989186e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,20,-0.019805507359536335,-0.01716387690165124,-0.02,-0.019,8.51589070074443e-08,2.491643149728755e-07,2.491643149728755e-07,1.9898408886417897e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,20,-0.04852787861610723,0.008727353882196252,-0.05,0.01,5.491038997084143e-08,-4.818528194897629e-08,-4.818528194897629e-08,1.5490942453350427e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,20,-0.020225530015212666,-0.0007059904645926883,-0.02,0.0,5.5065849210143666e-08,6.116917684861102e-08,6.116917684861102e-08,1.8446978266645787e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,20,0.0005320750310504439,0.016198571212027675,0.0,0.019,7.247484071308797e-08,-2.2657136353178377e-07,-2.2657136353178377e-07,2.649016330388213e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,20,-0.019743313793449745,-0.016714796149738333,-0.02,-0.019,1.221491068438041e-07,4.136082728211554e-07,4.136082728211554e-07,2.5180812771813314e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,20,-0.04909939310065965,0.012282379331501996,-0.05,0.01,5.591188842189994e-08,-3.53864807651309e-08,-3.53864807651309e-08,9.732007547869688e-07,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,20,-0.020227902778511272,-0.0006911936469458105,-0.02,0.0,5.323374062315744e-08,2.5134854688052492e-08,2.5134854688052492e-08,1.946085891039696e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,20,0.0004621427088429585,0.016387832219242775,0.0,0.019,7.266772305072273e-08,-2.3371296067572782e-07,-2.3371296067572782e-07,2.782836277435932e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,20,-0.019745958356654658,-0.01629600491497529,-0.02,-0.019,9.815602743061339e-08,3.0878017871933357e-07,3.0878017871933357e-07,2.161663699439643e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,20,-0.04864888537882654,0.008006679438576069,-0.05,0.01,5.8297189080089883e-08,6.393694603895362e-08,6.393694603895362e-08,1.049948803337798e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,20,-0.02028289900641524,-0.0006494767613341668,-0.02,0.0,5.365557829538784e-08,3.6049486809531096e-08,3.6049486809531096e-08,1.8850253863280698e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,20,0.0003757351569756559,0.01667741152700184,0.0,0.019,7.235400541980663e-08,-2.2873362261829498e-07,-2.2873362261829498e-07,2.713918228431496e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,20,-0.01932074363805826,-0.015101922200642336,-0.02,-0.019,1.138423917103029e-07,3.5946067687219685e-07,3.5946067687219685e-07,2.1727029635886818e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,20,-0.04890769639246438,0.004091338787927874,-0.05,0.01,5.4694016731170684e-08,-2.15753017317587e-08,-2.15753017317587e-08,1.0342094772483348e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,20,-0.019858038816223316,-0.0009498015660357802,-0.02,0.0,6.054318961433624e-08,-1.4453302052354692e-08,-1.4453302052354692e-08,3.6805318621128827e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,20,-0.0005242374141996989,0.019006323316539737,0.0,0.019,6.755356150796492e-08,-1.0118627455238575e-07,-1.0118627455238575e-07,8.672895245457797e-07,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,20,-0.019497098492757707,-0.01959008220057604,-0.02,-0.019,8.697274190403454e-08,1.3579925321361446e-07,1.3579925321361446e-07,6.516207923586997e-07,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,20,-0.04955916472707695,0.0051559884775036315,-0.05,0.01,6.121112517296125e-08,1.983386500136735e-08,1.983386500136735e-08,3.6602466488329636e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,20,-0.019856952629584215,-0.0009487123413102722,-0.02,0.0,6.052544196099695e-08,-1.4283181128326077e-08,-1.4283181128326077e-08,3.681333381685604e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,20,-0.0005531488421315949,0.01905861179463971,0.0,0.019,6.748652472056932e-08,-1.0066122231731417e-07,-1.0066122231731417e-07,8.641313970439663e-07,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,20,-0.01953663865864747,-0.020741669988940486,-0.02,-0.019,8.348067625938774e-08,1.4831645572193605e-07,1.4831645572193605e-07,8.31600819882473e-07,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,20,-0.04933994563041815,0.0037936991628400247,-0.05,0.01,6.272013551940718e-08,2.6428649861423377e-08,2.6428649861423377e-08,3.506031063223397e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,20,-0.019811754187966883,-0.0010947484241356819,-0.02,0.0,6.255622829174384e-08,-2.7580944118877454e-08,-2.7580944118877454e-08,3.6038750038159035e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,20,-0.0005265605729730446,0.01922482368788952,0.0,0.019,7.069424729419528e-08,-1.026840887540015e-07,-1.026840887540015e-07,7.476732683071183e-07,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,20,-0.019988265844310727,-0.02082909282380672,-0.02,-0.019,7.361194182239457e-08,1.0122182324757504e-07,1.0122182324757504e-07,6.455820671376998e-07,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,20,-0.049700489018484735,0.0038874184886799603,-0.05,0.01,6.428233385131439e-08,3.3016304892119214e-08,3.3016304892119214e-08,3.4465604842551455e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,20,-0.01982123392335825,-0.0010806920563078768,-0.02,0.0,6.33557000335926e-08,-3.178625520064842e-08,-3.178625520064842e-08,3.606297652224793e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,20,-0.0004455862989875352,0.01923252316029346,0.0,0.019,6.803613448218192e-08,-9.308019531111657e-08,-9.308019531111657e-08,7.463911596274001e-07,-0.7853981633974483,0.7853981633974483
