calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.05,0.017,20,-0.009543909800603281,-0.0036152000243011937,-0.02,0.0
1,0.05,0.017,20,-0.1962501053376949,0.14479693850469433,0.0,0.019
2,0.05,0.017,20,-0.013620188542372898,-0.03363486470911609,-0.02,-0.019
3,0.05,0.017,20,-0.11466761908847162,0.09107918698627242,-0.05,0.01
0,0.05,0.017,20,-0.010262091092582753,-0.01017639226385358,-0.02,0.0
1,0.05,0.017,20,-0.1768015321787817,0.15804620414964224,0.0,0.019
2,0.05,0.017,20,-0.02174068486747642,-0.030410609211161375,-0.02,-0.019
3,0.05,0.017,20,-0.058298999522215886,0.1463389989467114,-0.05,0.01
0,0.05,0.017,20,-0.010036684793795832,0.002216305851527046,-0.02,0.0
1,0.05,0.017,20,-0.16697081238250347,0.13474126232294947,0.0,0.019
2,0.05,0.017,20,-0.06370090241678146,-0.02870558140860039,-0.02,-0.019
3,0.05,0.017,20,-0.04794167619386149,0.12265656879558527,-0.05,0.01
0,0.05,0.017,20,-0.0031122864411551004,0.0061978121037783145,-0.02,0.0
1,0.05,0.017,20,-0.15728139277069172,0.13401130635562464,0.0,0.019
2,0.05,0.017,20,-0.058558134129160846,-0.022370186738456817,-0.02,-0.019
3,0.05,0.017,20,-0.06682598157248155,0.14886972281127928,-0.05,0.01
0,0.05,0.017,20,-0.0018192780129662937,0.01723644752352836,-0.02,0.0
1,0.05,0.017,20,-0.12279125223393025,0.13854184992304186,0.0,0.019
2,0.05,0.017,20,-0.1283072745268372,-0.030863899032957845,-0.02,-0.019
3,0.05,0.017,20,-0.0536900762787698,0.05821556861451781,-0.05,0.01
0,0.05,0.009,20,-0.021032384281838623,-0.023558987810629182,-0.02,0.0
1,0.05,0.009,20,-0.00968285943435961,0.04684615888230523,0.0,0.019
2,0.05,0.009,20,-0.040600678711359396,-0.029868885405509894,-0.02,-0.019
