calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
0,0.001,0.0009,10,-1.6584124875920756e-06,1.5157162815818782e-06,-0.01,0.01,1.1734543294201558e-05,4.774610158964582e-06,4.774610158964582e-06,2.0648062318260714e-06,-1.5707963267948966,1.5707963267948966,2,20,20
1,0.001,0.0009,10,-2.573677723693815e-06,5.99468437273528e-07,-0.01,0.01,1.9919680575508997e-07,-5.945284080761153e-07,-5.945284080761153e-07,3.888432082703125e-06,-1.5707963267948966,1.5707963267948966,2,20,20
2,0.001,0.0009,10,7.324277016505292e-06,2.525699030357413e-06,-0.01,0.01,0.00016329868010074436,-8.835473034789094e-05,-8.835473034789094e-05,4.7940068176737325e-05,-1.5707963267948966,1.5707963267948966,2,20,20
3,0.001,0.0009,10,-7.062669504396452e-06,1.6027112123539627e-06,-0.01,0.01,1.794795612367007e-05,2.0558914985360596e-05,2.0558914985360596e-05,2.3790272010482112e-05,-1.5707963267948966,1.5707963267948966,2,20,20
4,0.001,0.0009,10,-1.3624002515657458e-06,6.978447920194542e-06,-0.01,0.01,5.920684724170715e-06,9.58792011224977e-06,9.58792011224977e-06,1.590822624633534e-05,-1.5707963267948966,1.5707963267948966,2,20,20
5,0.001,0.0009,10,7.20224031342778e-06,1.7002716512521713e-06,-0.01,0.01,0.00013616570515906582,-0.0001066631017571712,-0.0001066631017571712,8.372059067969896e-05,-1.5707963267948966,1.5707963267948966,2,20,20
6,0.001,0.0009,10,-5.048557130033794e-06,-1.025873980838575e-06,-0.01,0.01,1.6428288985135117e-05,3.1427992190158554e-05,3.1427992190158554e-05,6.060714283524187e-05,-1.5707963267948966,1.5707963267948966,2,20,20
7,0.001,0.0009,10,-8.619785696089173e-07,4.6067828197327785e-06,-0.01,0.01,1.7331595620341223e-05,4.558341918201534e-05,4.558341918201534e-05,0.0001207104937208915,-1.5707963267948966,1.5707963267948966,2,20,20
8,0.001,0.0009,10,2.15369954905928e-06,-3.087428543708685e-06,-0.01,0.01,5.8534866505702164e-05,-0.00028428710866701217,-0.00028428710866701217,0.0013832400574162198,-1.5707963267948966,1.5707963267948966,2,20,20
9,0.001,0.0009,10,-9.940029794195024e-07,4.468744938144574e-06,-0.01,0.01,0.00025062589168537087,0.00058180242565922,0.00058180242565922,0.0013512551172716167,-1.5707963267948966,1.5707963267948966,2,20,20
10,0.001,0.0009,10,3.211659904598645e-06,-4.018981145950998e-06,-0.01,0.01,0.0010593616063270114,-0.003612770456926637,-0.003612770456926637,0.012322034909612738,-1.5707963267948966,1.5707963267948966,2,20,20
11,0.001,0.0009,10,-1.693010022164075e-06,5.237489398333289e-06,-0.01,0.01,0.0016487817412384267,0.0027693733023257043,0.0027693733023257043,0.004651968249560216,-1.5707963267948966,1.5707963267948966,2,20,20
12,0.001,0.0009,10,-5.556798892590748e-07,5.877959541781874e-07,-0.01,0.01,0.00022546981210516077,-0.0007674166929041477,-0.0007674166929041477,0.0026133036385383684,-1.5707963267948966,1.5707963267948966,2,20,20
13,0.001,0.0009,10,2.094476043654505e-06,1.1146110003878964e-07,-0.01,0.01,0.004157570739743355,-0.006384216195850265,-0.006384216195850265,0.00980372024485428,-1.5707963267948966,1.5707963267948966,2,20,20
14,0.001,0.0009,10,1.8209058323298045e-06,-3.7544871333297627e-06,-0.01,0.01,3.912030581631791e-05,-0.00010770210978947129,-0.00010770210978947129,0.00029740218606405115,-1.5707963267948966,1.5707963267948966,2,20,20
15,0.001,0.0009,10,-3.294463285936704e-06,4.226744307117091e-06,-0.01,0.01,2.9783049256779742e-05,4.4887915934627174e-05,4.4887915934627174e-05,6.799298611922573e-05,-1.5707963267948966,1.5707963267948966,2,20,20
16,0.001,0.0009,10,-1.678117929232331e-06,8.25083971411505e-07,-0.01,0.01,1.94956773816949e-07,-6.264425212791224e-07,-6.264425212791224e-07,4.487005352373772e-06,-1.5707963267948966,1.5707963267948966,2,20,20
17,0.001,0.0009,10,3.881601372889478e-06,1.2032810161288739e-06,-0.01,0.01,1.8640344076889855e-05,-1.3838618388281886e-05,-1.3838618388281886e-05,1.0435784872788421e-05,-1.5707963267948966,1.5707963267948966,2,20,20
18,0.001,0.0009,10,-4.299267072882512e-06,-7.960563745973116e-07,-0.01,0.01,3.130653565114972e-07,-1.3900197552658612e-06,-1.3900197552658612e-06,9.352180407162641e-06,-1.5707963267948966,1.5707963267948966,2,20,20
0,0.001,0.0009,10,-1.2136843624095075e-06,3.2622688097098394e-06,-0.01,0.01,9.841790875684032e-07,3.8426794319727624e-07,3.8426794319727624e-07,2.8359305438447686e-07,-1.5707963267948966,1.5707963267948966,2,20,20
1,0.001,0.0009,10,-2.56436000290525e-06,1.6382462407103378e-06,-0.01,0.01,2.5103789222153806e-07,-6.3433235789747e-07,-6.3433235789747e-07,2.8937952407800727e-06,-1.5707963267948966,1.5707963267948966,2,20,20
2,0.001,0.0009,10,7.553221461134782e-06,7.950116821983861e-07,-0.01,0.01,2.2674875170505016e-06,-1.3208188969241823e-06,-1.3208188969241823e-06,9.153249828740952e-07,-1.5707963267948966,1.5707963267948966,2,20,20
3,0.001,0.0009,10,-5.724705249179908e-06,5.128753899470084e-07,-0.01,0.01,5.44459739591403e-07,5.361479109963295e-07,5.361479109963295e-07,7.792536131901336e-07,-1.5707963267948966,1.5707963267948966,2,20,20
4,0.001,0.0009,10,-5.124416548801886e-07,6.720941686544091e-06,-0.01,0.01,1.2407244794236922e-06,1.6592068553043513e-06,1.6592068553043513e-06,2.533863550361613e-06,-1.5707963267948966,1.5707963267948966,2,20,20
5,0.001,0.0009,10,7.301029037984121e-06,-1.3609769963444946e-07,-0.01,0.01,4.12975194980294e-06,-3.4638074109894287e-06,-3.4638074109894287e-06,3.0867580308177237e-06,-1.5707963267948966,1.5707963267948966,2,20,20
6,0.001,0.0009,10,-5.3450164909024195e-06,-1.5823182166754322e-06,-0.01,0.01,4.102407962265458e-06,7.136039758839523e-06,7.136039758839523e-06,1.2839456126062436e-05,-1.5707963267948966,1.5707963267948966,2,20,20
7,0.001,0.0009,10,-2.049696800623823e-06,4.122952360369203e-06,-0.01,0.01,7.232512035992437e-06,1.778320250798503e-05,1.778320250798503e-05,4.4463479667616876e-05,-1.5707963267948966,1.5707963267948966,2,20,20
8,0.001,0.0009,10,4.3625372512146025e-07,-2.656820603576791e-06,-0.01,0.01,5.0682677658468535e-06,-2.5126759080194876e-05,-2.5126759080194876e-05,0.0001272609701920975,-1.5707963267948966,1.5707963267948966,2,20,20
9,0.001,0.0009,10,-1.6187055601158314e-06,4.571759306520408e-06,-0.01,0.01,0.0002684927897594546,0.0006165114187363361,0.0006165114187363361,0.0014162776925864217,-1.5707963267948966,1.5707963267948966,2,20,20
10,0.001,0.0009,10,1.6941076536271978e-06,-3.0269153560131294e-06,-0.01,0.01,1.8941517698220407e-05,-6.42909594562442e-05,-6.42909594562442e-05,0.00021951370526958786,-1.5707963267948966,1.5707963267948966,2,20,20
11,0.001,0.0009,10,-1.5097171242302149e-06,6.452421544645636e-06,-0.01,0.01,0.00015613238910476194,0.0002619791749366287,0.0002619791749366287,0.0004399776161101827,-1.5707963267948966,1.5707963267948966,2,20,20
12,0.001,0.0009,10,-1.2962387011455762e-06,2.839426909697221e-06,-0.01,0.01,2.213436097479651e-06,-7.480503250756338e-06,-7.480503250756338e-06,2.662418137198489e-05,-1.5707963267948966,1.5707963267948966,2,20,20
13,0.001,0.0009,10,2.989853529501824e-06,-7.047105960988694e-07,-0.01,0.01,2.2354706823234977e-06,-3.5815641838143734e-06,-3.5815641838143734e-06,6.124890001432329e-06,-1.5707963267948966,1.5707963267948966,2,20,20
14,0.001,0.0009,10,8.735657711752079e-07,-5.454495259036192e-06,-0.01,0.01,7.1131023199793e-07,-1.9387591508567114e-06,-1.9387591508567114e-06,6.301068469053198e-06,-1.5707963267948966,1.5707963267948966,2,20,20
15,0.001,0.0009,10,-4.441555501604193e-06,4.4076042280671134e-06,-0.01,0.01,1.355911898051905e-05,2.0487711821173587e-05,2.0487711821173587e-05,3.129896005937102e-05,-1.5707963267948966,1.5707963267948966,2,20,20
16,0.001,0.0009,10,-2.7913047167771854e-06,1.1604527234230545e-06,-0.01,0.01,1.5704815635633218e-07,-3.9489344925627705e-07,-3.9489344925627705e-07,3.185581510072891e-06,-1.5707963267948966,1.5707963267948966,2,20,20
17,0.001,0.0009,10,3.5313104575282615e-06,-7.068847630522399e-08,-0.01,0.01,8.989787646550786e-07,-6.547325553590543e-07,-6.547325553590543e-07,6.562018521877074e-07,-1.5707963267948966,1.5707963267948966,2,20,20
18,0.001,0.0009,10,-3.7220389360646006e-06,-8.708707666174616e-07,-0.01,0.01,1.1868661459663806e-07,-8.907131052398775e-08,-8.907131052398775e-08,1.2867308349177644e-06,-1.5707963267948966,1.5707963267948966,2,20,20
0,0.001,0.0009,10,-9.115669811179548e-07,3.740111273076621e-06,-0.01,0.01,5.042906856489009e-07,1.857934458621736e-07,1.857934458621736e-07,2.164475599609221e-07,-1.5707963267948966,1.5707963267948966,2,20,20
1,0.001,0.0009,10,-2.3476831103884674e-06,1.783059147232195e-06,-0.01,0.01,3.5449157230962054e-07,-8.638521658676483e-07,-8.638521658676483e-07,3.1136584218255545e-06,-1.5707963267948966,1.5707963267948966,2,20,20
2,0.001,0.0009,10,7.037089912844899e-06,5.165452490569488e-07,-0.01,0.01,9.40728075862936e-07,-5.853322493720569e-07,-5.853322493720569e-07,5.260835515381423e-07,-1.5707963267948966,1.5707963267948966,2,20,20
3,0.001,0.0009,10,-5.070717005060435e-06,-8.35870815739264e-07,-0.01,0.01,3.050227011693464e-07,2.632272658772926e-07,2.632272658772926e-07,4.995681644025395e-07,-1.5707963267948966,1.5707963267948966,2,20,20
4,0.001,0.0009,10,-3.306795406265099e-07,6.12399636889394e-06,-0.01,0.01,9.296313970702653e-07,1.0560486706166233e-06,1.0560486706166233e-06,1.4667159421826433e-06,-1.5707963267948966,1.5707963267948966,2,20,20
5,0.001,0.0009,10,6.984297299437186e-06,-1.1713614212186404e-06,-0.01,0.01,1.7807220095813414e-06,-1.5933791950682047e-06,-1.5933791950682047e-06,1.6241643891628672e-06,-1.5707963267948966,1.5707963267948966,2,20,20
6,0.001,0.0009,10,-5.8459931953554044e-06,-1.2730974506153042e-06,-0.01,0.01,2.6602967575347405e-06,4.241172206729533e-06,4.241172206729533e-06,7.142142689372819e-06,-1.5707963267948966,1.5707963267948966,2,20,20
7,0.001,0.0009,10,-2.6967330678180332e-06,4.243189316679753e-06,-0.01,0.01,3.3461107725553382e-06,7.491271377250034e-06,7.491271377250034e-06,1.7412506870239007e-05,-1.5707963267948966,1.5707963267948966,2,20,20
8,0.001,0.0009,10,-1.4917080379536212e-07,-2.62463795478079e-06,-0.01,0.01,1.2900551887862996e-06,-5.462872740603363e-06,-5.462872740603363e-06,2.5253984585365586e-05,-1.5707963267948966,1.5707963267948966,2,20,20
9,0.001,0.0009,10,-2.3391574679758365e-06,4.899901550970343e-06,-0.01,0.01,1.9727928947613118e-06,3.919254583406547e-06,3.919254583406547e-06,8.325532841852803e-06,-1.5707963267948966,1.5707963267948966,2,20,20
10,0.001,0.0009,10,5.717327407106322e-07,-2.236740160163007e-06,-0.01,0.01,4.6049314438368706e-07,-1.393160561161396e-06,-1.393160561161396e-06,5.563631331358663e-06,-1.5707963267948966,1.5707963267948966,2,20,20
11,0.001,0.0009,10,-1.2928974135749045e-06,7.0014082948457245e-06,-0.01,0.01,9.204696287510942e-06,1.4699938892189628e-05,1.4699938892189628e-05,2.384739354999283e-05,-1.5707963267948966,1.5707963267948966,2,20,20
12,0.001,0.0009,10,-1.6889109481227676e-06,3.1000834420386243e-06,-0.01,0.01,4.5300836269102705e-07,-1.4226243975040598e-06,-1.4226243975040598e-06,5.91690237857558e-06,-1.5707963267948966,1.5707963267948966,2,20,20
13,0.001,0.0009,10,2.4800212400310234e-06,-1.000962253084434e-06,-0.01,0.01,4.021048027542486e-07,-5.678069206892312e-07,-5.678069206892312e-07,1.2179710884728839e-06,-1.5707963267948966,1.5707963267948966,2,20,20
14,0.001,0.0009,10,4.691450170440934e-08,-5.2699142716155845e-06,-0.01,0.01,1.9575821840292703e-07,-3.533965617913685e-07,-3.533965617913685e-07,1.5654133779636076e-06,-1.5707963267948966,1.5707963267948966,2,20,20
15,0.001,0.0009,10,-4.800260682371861e-06,4.065553211994444e-06,-0.01,0.01,1.256492583234559e-05,1.8870399711968067e-05,1.8870399711968067e-05,2.8679726321154318e-05,-1.5707963267948966,1.5707963267948966,2,20,20
16,0.001,0.0009,10,-3.2501549035019414e-06,5.652601690574926e-07,-0.01,0.01,1.2658118929744082e-07,-1.8440663512559314e-07,-1.8440663512559314e-07,1.9963032907836763e-06,-1.5707963267948966,1.5707963267948966,2,20,20
17,0.001,0.0009,10,2.5832608579521393e-06,6.621537768223288e-07,-0.01,0.01,4.1030464049349337e-07,-2.3852106370804806e-07,-2.3852106370804806e-07,3.239843466365656e-07,-1.5707963267948966,1.5707963267948966,2,20,20
18,0.001,0.0009,10,-3.909407409647639e-06,-3.845014130473582e-07,-0.01,0.01,1.1301232348851009e-07,-3.9423761753973325e-08,-3.9423761753973325e-08,1.3199919708683241e-06,-1.5707963267948966,1.5707963267948966,2,20,20
