calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
0,0.001,0.0009,10,-2.8606828590811866e-06,1.1356832735023962e-06,-0.01,0.01,1.541240611251387e-07,4.590907461696669e-08,4.590907461696669e-08,3.528436562143406e-07,-1.5707963267948966,1.5707963267948966,2,20,5
1,0.001,0.0009,10,-4.68498347760797e-06,1.8565726946052967e-06,-0.01,0.01,1.2825466176451766e-07,-4.833701891433731e-09,-4.833701891433731e-09,5.257266981519051e-07,-1.5707963267948966,1.5707963267948966,2,20,5
2,0.001,0.0009,10,-4.084121820906367e-06,1.7432063855496832e-06,-0.01,0.01,1.3957290141016224e-07,-1.5257509870996617e-08,-1.5257509870996617e-08,4.010134488363009e-07,-1.5707963267948966,1.5707963267948966,2,20,5
3,0.001,0.0009,10,-3.45652934839429e-06,-7.264652958585109e-08,-0.01,0.01,1.5204634254975592e-07,-1.1330578774727083e-07,-1.1330578774727083e-07,5.825701049274216e-07,-1.5707963267948966,1.5707963267948966,2,20,5
0,0.001,0.0009,10,-2.236528004371601e-06,1.438794313080237e-06,-0.01,0.01,1.4893845846212445e-07,1.2183147257327487e-08,1.2183147257327487e-08,3.3828610379452426e-07,-1.5707963267948966,1.5707963267948966,2,20,5
1,0.001,0.0009,10,-4.467156283046641e-06,1.2775841731961277e-06,-0.01,0.01,1.2604226874009785e-07,-2.460036620507244e-08,-2.460036620507244e-08,5.91284694511706e-07,-1.5707963267948966,1.5707963267948966,2,20,5
2,0.001,0.0009,10,-3.933304709366855e-06,7.838395341014856e-07,-0.01,0.01,1.359192007675516e-07,-4.357941810931437e-08,-4.357941810931437e-08,4.844735049605289e-07,-1.5707963267948966,1.5707963267948966,2,20,5
3,0.001,0.0009,10,-3.2539088342499196e-06,-2.224375817860772e-07,-0.01,0.01,1.5432805000063273e-07,-1.2694143262119875e-07,-1.2694143262119875e-07,6.251214034684016e-07,-1.5707963267948966,1.5707963267948966,2,20,5
0,0.001,0.0009,10,-1.159223647945182e-06,1.0059789499615064e-06,-0.01,0.01,1.4919788323784064e-07,-3.779374047609674e-08,-3.779374047609674e-08,3.646732216994596e-07,-1.5707963267948966,1.5707963267948966,2,20,5
1,0.001,0.0009,10,-4.80858669035185e-06,7.657499159193107e-07,-0.01,0.01,1.2727554491188988e-07,-2.410406141220972e-08,-2.410406141220972e-08,5.653291292886504e-07,-1.5707963267948966,1.5707963267948966,2,20,5
2,0.001,0.0009,10,-3.850633850660797e-06,1.8279558756808737e-07,-0.01,0.01,1.4140327545764825e-07,-8.658702558158071e-08,-8.658702558158071e-08,5.758897801196738e-07,-1.5707963267948966,1.5707963267948966,2,20,5
3,0.001,0.0009,10,-3.2270028924518727e-06,-2.166229186327074e-07,-0.01,0.01,1.5596417952742602e-07,-1.3569460856688933e-07,-1.3569460856688933e-07,6.524250870300823e-07,-1.5707963267948966,1.5707963267948966,2,20,5
0,0.001,0.0009,10,-6.585524809051608e-07,8.131943337579664e-07,-0.01,0.01,1.5688891859098414e-07,-7.068642815163377e-08,-7.068642815163377e-08,3.936803302439298e-07,-1.5707963267948966,1.5707963267948966,2,20,5
1,0.001,0.0009,10,-4.515772574279671e-06,7.517294006879303e-08,-0.01,0.01,1.2745196852219373e-07,-2.8518763381866487e-08,-2.8518763381866487e-08,5.714981741479552e-07,-1.5707963267948966,1.5707963267948966,2,20,5
2,0.001,0.0009,10,-4.094969948348717e-06,8.587591533279926e-07,-0.01,0.01,1.3858791810055426e-07,-3.086126484607464e-08,-3.086126484607464e-08,4.2936022312162656e-07,-1.5707963267948966,1.5707963267948966,2,20,5
3,0.001,0.0009,10,-3.690008688863118e-06,6.762634478292888e-07,-0.01,0.01,1.3441202826829517e-07,-6.240965935904845e-08,-6.240965935904845e-08,5.663289306802991e-07,-1.5707963267948966,1.5707963267948966,2,20,5
0,0.001,0.0009,10,-1.2306005185887994e-06,8.944899847796648e-07,-0.01,0.01,1.4603381923249718e-07,-2.2371559301838704e-08,-2.2371559301838704e-08,3.622808975246531e-07,-1.5707963267948966,1.5707963267948966,2,20,5
1,0.001,0.0009,10,-4.083427268066321e-06,-2.6080282021354396e-07,-0.01,0.01,1.3624052516123868e-07,-5.823611284816729e-08,-5.823611284816729e-08,5.255143922549849e-07,-1.5707963267948966,1.5707963267948966,2,20,5
2,0.001,0.0009,10,-4.65079820026787e-06,1.8756432874265572e-06,-0.01,0.01,1.3852746144072634e-07,2.5421447042942694e-08,2.5421447042942694e-08,4.213809706632928e-07,-1.5707963267948966,1.5707963267948966,2,20,5
3,0.001,0.0009,10,-3.487391745220714e-06,6.837112132484757e-07,-0.01,0.01,1.4257028716267715e-07,-7.801158514094912e-08,-7.801158514094912e-08,5.264348530328308e-07,-1.5707963267948966,1.5707963267948966,2,20,5
0,0.001,0.0009,10,-3.1141917109977802e-06,7.772210511675505e-07,-0.01,0.01,1.599040751741388e-07,-4.565890902421213e-08,-4.565890902421213e-08,3.2717166052959557e-07,-1.5707963267948966,1.5707963267948966,2,15,5
