sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,n_obs
0.05,0.09,0.017,20,True,6,7,1.1613172961026312,0.0005030608203125696,-0.030804381709048232,-0.012297473812109997,3.345064667947653e-05,20
0.05,0.09,0.017,20,False,0,6,9.176722989270601,0.0005004150772314727,-0.11133761177619828,-0.006215650502663226,0.00046000095626413815,20
0.05,0.09,0.017,20,True,1,2,1.4668137160726282,0.0005035799336895004,-0.020180761309202322,0.004714646492298216,9.980647676190755e-06,20
0.05,0.09,0.017,20,True,0,1,1.3780317201842358,0.0005031611865535942,-0.030375181239107995,-0.023135672184527493,-5.269379789832027e-05,20
0.05,0.09,0.017,20,True,4,5,1.2417710900079357,0.0005033620982345537,-0.024284716894233813,-0.0038673957803522794,5.133155512639627e-05,20
0.05,0.09,0.017,20,False,0,3,11.451213476037811,0.0005004020073189374,-0.118274892968859,-0.021530638745827713,0.0004032452921760662,20
0.05,0.09,0.017,20,False,6,0,17.66062311417613,0.0005001267949401955,-0.14067580764073204,0.007000702748165376,0.00017493166251129086,20
0.05,0.09,0.017,20,False,3,0,18.150071416634827,0.000500218359677592,-0.12615250916043014,0.0033333620222243425,0.000738699142436088,20
0.05,0.09,0.017,20,False,3,6,17.256600341081704,0.0005001280422261133,-0.13910863064015333,0.004834924311029602,0.0007478406040121846,20
0.05,0.09,0.017,20,False,6,3,21.900099731418567,0.0005002089034046734,-0.13401809353502508,-0.01668988620420205,0.0004176400462118203,20
0.05,0.09,0.017,20,True,3,4,1.030927312700253,0.0005035963667809461,-0.020032073978014184,-0.00795370668019833,-4.894568974783899e-05,20
0.05,0.09,0.017,20,False,0,7,26.768148002180787,0.0005019208033322691,-0.05700918301558109,-0.013584753763785047,-0.00023508448008883703,20
0.05,0.09,0.017,20,False,1,4,7.969491422348585,0.0005003972273183435,-0.11426760513837182,-0.013041394872499244,0.00020608080290340504,20
0.05,0.09,0.017,20,True,7,8,1.2342299084272965,0.0005032033294116141,-0.0283215891821796,0.015620818562042211,-5.138607327475374e-05,20
0.05,0.09,0.017,20,False,3,7,33.40022311504829,0.0005017246610725628,-0.06143649952078816,0.006123867936758372,0.0001855571110231856,20
0.05,0.09,0.017,20,False,7,1,30.035059783414056,0.0005002922919005091,-0.1194401803039387,-0.0020347208900644244,0.0001317838891295887,20
0.05,0.09,0.017,20,False,7,4,38.727265372983894,0.0005011550964555624,-0.07875493413937297,-0.006690494601489516,6.917241516146907e-05,20
0.05,0.09,0.017,20,False,3,1,15.28959808901973,0.0005029311912997463,-0.03295233169411413,-0.00549561437055625,0.00034760227597290216,20
0.05,0.09,0.017,20,False,0,4,20.89329050826999,0.0005032765413354609,-0.02588603811150294,-0.0002770385207710829,-0.00014134028684326144,20
0.05,0.09,0.017,20,False,1,7,35.294349289813844,0.0005001653004317627,-0.13204024302855638,0.00015532920503816603,0.0005654504267534082,20
0.05,0.09,0.017,20,False,6,1,13.694996762341813,0.000501915565819911,-0.05624401596418881,-0.004109038809639537,0.0001540466992859992,20
0.05,0.09,0.017,20,False,6,4,13.739795793592634,0.0005034307486790352,-0.022957517681665186,0.0035030374336112733,0.00015073405747742768,20
0.05,0.09,0.017,20,False,4,1,54.039380204146724,0.0005000997757767386,-0.1521756504287236,-0.0004851907007125548,1.4334006576072587e-06,20
0.05,0.09,0.017,20,True,6,7,1.5994118554463836,0.0005022425626240306,-0.04805981623320151,0.0006847389382817477,6.634614809275948e-05,20
0.05,0.09,0.017,20,False,4,7,34.217150867091696,0.00050014873941152,-0.14931675335824235,-0.015551969100865702,0.0002345227504259407,20
0.05,0.09,0.017,20,True,1,2,0.9095198486505772,0.00050482133485406,0.0010101082619303763,0.009433002764807843,2.7963401908539825e-05,20
0.05,0.09,0.017,20,False,0,3,22.487812768110782,0.0005001180011726369,-0.140953488691222,0.003388923190331134,0.000305156649065785,20
0.05,0.09,0.017,20,False,0,6,23.43427040256867,0.0005002409766025281,-0.12480705178174452,-0.007397833557887962,0.000234930900720582,20
0.05,0.09,0.017,20,False,3,0,23.122154404260648,0.000500123378627736,-0.13920120949189282,-0.001664477823496366,-0.0003683372446802594,20
